yahoo_player_id,yahoo_name,team_abbr,mlb_person_id,mlb_name,mlb_pos,notes
7412,Chris Young,N/A,432934,Chris Young,P,sfbb_playeridmap
7414,Jeff Keppinger,N/A,433898,Jeff Keppinger,2B,sfbb_playeridmap
7418,Heath Bell,N/A,425514,Heath Bell,P,sfbb_playeridmap
7420,Maicer Izturis,N/A,430895,Maicer Izturis,2B,sfbb_playeridmap
7421,Wilson Valdez Suarez,N/A,407832,Wilson Valdez,SS,sfbb_playeridmap
7424,Pete Orr,N/A,434681,Pete Orr,2B,sfbb_playeridmap
7425,Jason Kubel,N/A,430585,Jason Kubel,OF,sfbb_playeridmap
7435,Nick Swisher,N/A,430897,Nick Swisher,OF,sfbb_playeridmap
7436,Dan Johnson,STL,430681,Dan Johnson,1B,sfbb_playeridmap
7437,Ryan Howard,N/A,429667,Ryan Howard,1B,sfbb_playeridmap
7439,Greg Dobbs,N/A,425785,Greg Dobbs,1B,sfbb_playeridmap
7454,Ryan Raburn,N/A,430605,Ryan Raburn,OF,sfbb_playeridmap
7455,Curtis Granderson,MIA,434158,Curtis Granderson,OF,sfbb_playeridmap
7458,Rene Rivera,N/A,425784,Rene Rivera,C,sfbb_playeridmap
7461,Joe Blanton,N/A,430599,Joe Blanton,P,sfbb_playeridmap
7464,Brandon League,N/A,434181,Brandon League,P,sfbb_playeridmap
7465,Kameron Loe,N/A,434180,Kameron Loe,P,sfbb_playeridmap
7467,Delmon Young,BAL,430321,Delmon Young,OF,sfbb_playeridmap
7468,Huston Street,N/A,434718,Huston Street,P,sfbb_playeridmap
7476,Ryan Rowland-Smith,N/A,434884,Ryan Rowland-Smith,P,sfbb_playeridmap
7481,Kendrys Morales,NYY,434778,Kendrys Morales,1B,sfbb_playeridmap
7483,Aaron Hill,N/A,431094,Aaron Hill,2B,sfbb_playeridmap
7484,Brandon McCarthy,N/A,435221,Brandon McCarthy,P,sfbb_playeridmap
7485,Carlos Quentin,N/A,435041,Carlos Quentin,OF,sfbb_playeridmap
7486,Conor Jackson,N/A,433582,Conor Jackson,OF,sfbb_playeridmap
7487,Felix Hernandez,BAL,433587,Felix Hernandez,P,sfbb_playeridmap
7488,Hanley Ramirez,N/A,434670,Hanley Ramirez,DH,sfbb_playeridmap
7490,Ian Kinsler,N/A,435079,Ian Kinsler,2B,sfbb_playeridmap
7493,Kelly Shoppach,N/A,431159,Kelly Shoppach,C,sfbb_playeridmap
7495,Matt Cain,SF,430912,Matt Cain,P,sfbb_playeridmap
7497,Robinson Cano,ATL,429664,Robinson Cano,2B,sfbb_playeridmap
7498,Shin-Soo Choo,TEX,425783,Shin-Soo Choo,OF,sfbb_playeridmap
7500,Tim Stauffer,N/A,431162,Tim Stauffer,P,sfbb_playeridmap
7501,Kyle Davies,N/A,434678,Kyle Davies,P,sfbb_playeridmap
7502,Chien-Ming Wang,N/A,425426,Chien-Ming Wang,P,sfbb_playeridmap
7504,Francisco Liriano,TOR,434538,Francisco Liriano,P,sfbb_playeridmap
7507,Dustin Moseley,N/A,400291,Dustin Moseley,P,sfbb_playeridmap
7508,Chris Narveson,N/A,429780,Chris Narveson,P,sfbb_playeridmap
7509,Cole Hamels,SD,430935,Cole Hamels,P,sfbb_playeridmap
7511,Yuniesky Betancourt,N/A,435358,Yuniesky Betancourt,2B,sfbb_playeridmap
7512,Zach Duke,CIN,435043,Zach Duke,P,sfbb_playeridmap
7513,Nate McLouth,N/A,434661,Nate McLouth,OF,sfbb_playeridmap
7521,Luke Scott,N/A,432928,Luke Scott,DH,sfbb_playeridmap
7527,Ronny Cedeno,N/A,430592,Ronny Cedeno,SS,sfbb_playeridmap
7533,Scott Baker,N/A,435044,Scott Baker,P,sfbb_playeridmap
7534,Jeremy Accardo,N/A,435618,Jeremy Accardo,P,sfbb_playeridmap
