yahoo_player_id,yahoo_name,team_abbr,display_position,primary_position,eligible_positions
12668,Cal Stevenson,DET,CF,CF,"CF,OF,Util,NA"
12430,Colt Keith,DET,"1B,2B,3B",1B,"1B,2B,3B,IF,Util"
60199,Corey Julks,DET,"LF,RF",LF,"LF,RF,OF,Util,NA"
11928,Dillon Dingler,DET,C,C,"C,Util"
65281,Drew Sommers,DET,RP,RP,"RP,P,NA"
12425,Dylan Smith,DET,RP,RP,"RP,P,NA"
12431,Gage Workman,DET,"3B,SS",3B,"3B,SS,IF,Util,NA"
60170,Jace Jung,DET,3B,3B,"3B,IF,Util"
65132,Jack Little,DET,RP,RP,"RP,P,NA"
12422,Jackson Jobe,DET,"SP,RP",SP,"SP,RP,P,IL"
10498,Jahmai Jones,DET,"LF,CF,RF",LF,"LF,CF,RF,OF,Util"
10900,Jake Rogers,DET,C,C,"C,Util"
63428,Keider Montero,DET,"SP,RP",SP,"SP,RP,P,NA"
12667,Kerry Carpenter,DET,"LF,RF",LF,"LF,RF,OF,Util"
11307,Konnor Pilkington,DET,RP,RP,"RP,P,NA"
10474,Matt Manning,DET,SP,SP,"SP,P,NA"
12210,Matt Vierling,DET,"3B,LF,CF,RF",3B,"3B,IF,LF,CF,RF,OF,Util"
11310,Parker Meadows,DET,CF,CF,"CF,OF,Util"
12429,Reese Olson,DET,SP,SP,"SP,P,IL"
